paso,episodio,puntaje,pasos_episodio,perdida_media,pasos_por_segundo
687,1,0.0,2769,,646.6
1369,2,0.0,2769,,642.1
2054,3,0.0,2769,,647.0
2738,4,0.0,2769,,652.5
3427,5,0.0,2769,,655.2
4113,6,0.0,2769,,652.3
4800,7,0.0,2769,,654.6
5483,8,0.0,2769,,656.0
6171,9,0.0,2769,,657.0
6856,10,0.0,2769,,654.7
7542,11,0.0,2769,,656.0
8226,12,0.0,2769,,657.2
8914,13,0.0,2769,,658.4
9601,14,0.0,2769,,656.7
10285,15,0.0,2769,,657.6
10969,16,0.0,2769,,658.5
11658,17,0.0,2769,,658.9
12344,18,0.0,2769,,657.4
13033,19,0.0,2769,,657.9
13720,20,0.0,2769,,658.2
14406,21,0.0,2769,,658.6
15089,22,0.0,2769,,657.6
15773,23,0.0,2769,,658.0
16457,24,0.0,2769,,657.8
17146,25,0.0,2769,,658.1
17831,26,0.0,2769,,657.2
18519,27,0.0,2769,,657.7
19208,28,0.0,2769,,658.1
19897,29,0.0,2769,,658.6
20589,30,120.0,2797,3.63562,589.0
21098,31,30.0,2049,3.49951,543.0
21804,32,110.0,2843,3.38942,493.0
22268,33,40.0,1871,3.33832,466.3
22745,34,110.0,1947,3.29746,442.9
23059,35,15.0,1295,3.27511,428.9
23312,36,10.0,1039,3.25874,418.7
23823,37,55.0,2063,3.23354,400.2
24286,38,90.0,1885,3.17355,385.0
24762,39,65.0,1943,3.12131,371.2
25058,40,5.0,1205,3.10112,363.2
25362,41,15.0,1237,3.08623,355.7
25748,42,40.0,1569,3.07337,346.7
26351,43,55.0,2429,3.06512,334.0
26630,44,30.0,1151,3.0666,328.5
27504,45,295.0,3533,3.09555,313.4
28000,46,50.0,2013,3.11821,305.8
28802,47,260.0,3225,3.18018,294.8
29287,48,90.0,1963,3.21253,288.8
29785,49,80.0,2011,3.25512,283.2
30745,50,355.0,3851,3.32659,273.3
31121,51,20.0,1539,3.35365,269.8
31498,52,40.0,1549,3.37508,266.3
32007,53,105.0,2063,3.41702,261.9
32530,54,135.0,2105,3.44036,257.8
32847,55,5.0,1281,3.45674,255.4
33572,56,215.0,2923,3.49502,249.6
34656,57,555.0,4361,3.543,242.8
35028,58,30.0,1511,3.54705,240.6
35601,59,155.0,2303,3.56902,237.5
36335,60,240.0,2973,3.57262,233.6
36811,61,180.0,1931,3.58112,231.2
37547,62,255.0,2967,3.59434,227.8
37844,63,50.0,1217,3.59676,226.4
38467,64,155.0,2511,3.61346,223.8
38983,65,105.0,2081,3.6195,221.7
39482,66,110.0,2031,3.62289,219.7
40048,67,90.0,2285,3.62604,217.6
40648,68,180.0,2439,3.62585,215.4
41051,69,75.0,1643,3.625,214.0
41586,70,80.0,2163,3.61812,212.2
42093,71,55.0,2069,3.61019,210.6
42727,72,175.0,2575,3.60762,208.6
43257,73,275.0,2145,3.60571,207.1
43524,74,20.0,1107,3.60004,206.3
44017,75,45.0,2009,3.60583,204.9
44614,76,60.0,2415,3.61214,203.3
44999,77,50.0,1559,3.60902,202.4
45649,78,90.0,2631,3.61255,200.7
46009,79,105.0,1461,3.61243,199.8
46288,80,90.0,1133,3.61228,199.0
46553,81,15.0,1091,3.61631,198.3
47286,82,185.0,2969,3.6213,196.3
47905,83,180.0,2511,3.62059,194.8
48165,84,15.0,1063,3.61899,194.2
48456,85,50.0,1179,3.60831,193.5
48942,86,75.0,1961,3.60586,192.3
49548,87,125.0,2459,3.59361,190.9
50145,88,360.0,2419,3.58914,189.5
50663,89,110.0,2089,3.57517,188.6
51155,90,105.0,1985,3.56711,187.5
51706,91,135.0,2225,3.55582,186.6
52315,92,155.0,2453,3.55489,185.4
52960,93,210.0,2605,3.55198,184.2
53563,94,210.0,2433,3.55041,183.0
54165,95,155.0,2433,3.54466,182.0
54638,96,105.0,1913,3.54315,181.2
54927,97,45.0,1183,3.54472,180.8
55416,98,105.0,1989,3.54586,180.2
55706,99,105.0,1191,3.54916,179.8
56466,100,390.0,3077,3.53376,178.8
56862,101,30.0,1615,3.53015,178.3
57468,102,180.0,2465,3.51947,177.6
58065,103,210.0,2411,3.509,176.9
58541,104,90.0,1927,3.50694,176.4
59177,105,410.0,2581,3.49478,175.6
59768,106,110.0,2391,3.47999,175.0
60457,107,180.0,2789,3.48678,174.3
61414,108,530.0,3863,3.48852,173.3
61960,109,120.0,2211,3.49014,172.8
62580,110,210.0,2503,3.48453,172.0
63222,111,210.0,2583,3.48402,168.0
63484,112,75.0,1073,3.48412,167.4
64099,113,180.0,2487,3.48079,166.9
64600,114,105.0,2023,3.47465,166.5
65239,115,210.0,2585,3.46375,166.0
66222,116,330.0,3943,3.45615,165.3
67035,117,240.0,3289,3.45259,164.8
67639,118,185.0,2435,3.4366,164.4
68234,119,150.0,2393,3.43557,164.0
69272,120,290.0,4185,3.45042,163.1
69787,121,110.0,2075,3.44821,162.7
70409,122,135.0,2507,3.4521,162.3
70741,123,75.0,1347,3.45086,162.1
71466,124,460.0,2939,3.44652,161.7
72193,125,260.0,2925,3.44655,161.3
72796,126,145.0,2433,3.43016,160.9
73326,127,105.0,2151,3.41499,160.6
73811,128,120.0,1967,3.40846,160.4
74298,129,105.0,1987,3.39459,160.1
74876,130,135.0,2325,3.38306,159.8
75503,131,210.0,2531,3.38075,159.5
75978,132,80.0,1923,3.37281,159.3
77151,133,305.0,4705,3.37047,158.8
77881,134,260.0,2953,3.37031,158.5
78942,135,350.0,4263,3.37151,158.0
79555,136,210.0,2475,3.36586,157.8
80189,137,210.0,2561,3.36943,157.6
81175,138,360.0,3963,3.36862,157.2
81836,139,180.0,2673,3.37016,157.0
82469,140,210.0,2557,3.37753,156.7
83153,141,225.0,2769,3.37156,156.5
